City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Longyearbyen,SJ,2022-10-02 12:51:38,78.2186,15.6401,37.23800000000004,87,100,1.54
62,Puerto Ayora,EC,2022-10-02 12:51:38,-0.7393,-90.3518,62.54600000000005,100,100,0.89
63,Provideniya,RU,2022-10-02 12:51:39,64.3833,-173.3,34.898000000000025,82,20,4.37
64,Carmen,MX,2022-10-02 12:51:29,18.6333,-91.8333,77.16200000000006,71,100,1.24
65,Mala,PE,2022-10-02 12:51:39,-12.6581,-76.6308,65.13800000000005,75,78,1.7
66,Haskovo,BG,2022-10-02 12:51:40,41.9403,25.5694,75.66800000000009,24,0,10.67
67,Khandbari,NP,2022-10-02 12:51:40,27.3747,87.2039,71.74400000000009,88,5,0.75
68,Seoul,KR,2022-10-02 12:48:46,37.5683,126.9778,67.44200000000001,85,100,4.63
69,Ushuaia,AR,2022-10-02 12:51:41,-54.8,-68.3,38.858000000000004,60,0,2.06
70,Georgetown,MY,2022-10-02 12:50:26,5.4112,100.3354,84.88399999999999,74,20,1.54
71,Iracoubo,GF,2022-10-02 12:51:41,5.4802,-53.2011,84.59600000000006,68,18,2.4
72,Dunedin,NZ,2022-10-02 12:51:42,-45.8742,170.5036,45.806000000000026,87,0,4.1
73,Moindou,NC,2022-10-02 12:51:42,-21.6924,165.677,71.52800000000008,77,100,2.56
74,Hermanus,ZA,2022-10-02 12:51:43,-34.4187,19.2345,70.808,66,0,6.34
75,Sikonge,TZ,2022-10-02 12:51:43,-5.6333,32.7667,95.63000000000005,13,67,3.17
76,Gulfport,US,2022-10-02 12:51:44,30.3674,-89.0928,57.254000000000055,74,0,0.0
77,Cherskiy,RU,2022-10-02 12:51:44,68.75,161.3,29.174000000000014,97,100,4.88
78,Lompoc,US,2022-10-02 12:51:44,34.6391,-120.4579,62.780000000000044,91,100,0.0
79,Te Anau,NZ,2022-10-02 12:50:08,-45.4167,167.7167,40.26200000000006,97,92,0.19
80,Guanambi,BR,2022-10-02 12:51:45,-14.2233,-42.7814,87.40400000000005,39,1,4.39
81,Baijiantan,CN,2022-10-02 12:51:46,45.6333,85.1833,49.46000000000008,27,0,3.05
82,Traverse City,US,2022-10-02 12:50:38,44.7631,-85.6206,50.342,91,20,1.54
83,General Roca,AR,2022-10-02 12:51:46,-39.0333,-67.5833,60.62000000000006,40,100,9.89
84,Kahului,US,2022-10-02 12:51:47,20.8947,-156.47,76.83800000000005,73,0,1.34
85,Narsaq,GL,2022-10-02 12:51:47,60.9167,-46.05,35.00600000000003,56,49,1.68
86,Laguna,US,2022-10-02 12:51:48,38.421,-121.4238,60.062000000000054,86,0,4.12
87,Yellowknife,CA,2022-10-02 12:51:48,62.456,-114.3525,54.12200000000004,62,0,6.71
88,Chatellerault,FR,2022-10-02 12:51:49,46.8,0.5333,65.55200000000008,1,99,6.95
89,Grafton,US,2022-10-02 12:50:05,42.207,-71.6856,55.148000000000025,75,100,7.2
90,Kavaratti,IN,2022-10-02 12:51:49,10.5669,72.642,80.76200000000006,78,100,5.6
91,Bredasdorp,ZA,2022-10-02 12:52:50,-34.5322,20.0403,76.06400000000004,41,0,6.74
92,Moyale,KE,2022-10-02 12:52:50,3.5167,39.0584,83.46200000000006,32,76,5.92
93,Olafsvik,IS,2022-10-02 12:52:51,64.8945,-23.7142,47.39000000000002,75,100,6.95
94,Brae,GB,2022-10-02 12:52:51,60.3964,-1.353,54.62600000000009,80,8,8.66
95,Shingu,JP,2022-10-02 12:52:52,33.7333,135.9833,70.12400000000002,83,63,2.18
96,Imbituba,BR,2022-10-02 12:52:38,-28.24,-48.6703,68.86400000000003,69,64,3.46
97,Hualmay,PE,2022-10-02 12:52:52,-11.0964,-77.6139,62.76200000000006,81,65,3.01
98,Strezhevoy,RU,2022-10-02 12:52:53,60.7333,77.5889,32.342,67,100,3.17
99,Lebu,CL,2022-10-02 12:52:53,-37.6167,-73.65,56.408,73,100,0.58
100,Nuevo Casas Grandes,MX,2022-10-02 12:52:54,30.4167,-107.9167,60.89000000000002,71,89,1.58
101,Solnechnyy,RU,2022-10-02 12:52:54,50.7214,136.6319,46.346000000000046,96,100,0.85
102,Huanren,CN,2022-10-02 12:52:55,41.2647,125.3667,57.812000000000054,97,100,0.57
103,Lapua,FI,2022-10-02 12:52:55,62.9693,23.0088,55.004000000000055,59,67,2.54
104,Ostrovnoy,RU,2022-10-02 12:52:56,68.0531,39.5131,40.424000000000014,71,95,4.35
105,Magomeni,TZ,2022-10-02 12:52:56,-6.8,39.25,82.77800000000008,57,75,6.17
106,Kudat,MY,2022-10-02 12:52:57,6.8837,116.8477,84.29000000000002,79,20,2.68
107,Atuona,PF,2022-10-02 12:52:07,-9.8,-139.0333,76.51400000000004,72,9,8.91
