City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Saldanha,ZA,-33.01,17.94,60.37,66,62,4.81,broken clouds
84,Sidi Ali,DZ,36.1,0.42,73.33,64,42,5.51,scattered clouds
85,Gojra,PK,31.15,72.69,85.05,20,0,2.76,clear sky
86,Yellowknife,CA,62.46,-114.35,32.56,67,7,2.68,clear sky
87,Lompoc,US,34.64,-120.46,56.12,100,100,0.51,fog
88,Zhanaozen,KZ,43.3,52.8,67.93,11,2,7.93,clear sky
89,Landeck,AT,47.13,10.56,65.98,62,39,0.12,scattered clouds
90,Mahebourg,MU,-20.41,57.7,72.25,73,40,3.6,scattered clouds
91,Verkhnyaya Inta,RU,65.98,60.31,43.21,85,99,3.96,overcast clouds
92,Jamestown,US,42.1,-79.24,65.01,46,0,2.06,clear sky
93,Saint-Philippe,RE,-21.36,55.77,71.19,77,19,4.66,few clouds
94,Westport,US,41.14,-73.36,60.28,91,100,2.24,light rain
95,Upernavik,GL,72.79,-56.15,20.23,76,92,2.23,overcast clouds
96,Portland,US,45.52,-122.68,59.74,94,100,3.09,light intensity drizzle
97,Saint-Leu,RE,-21.15,55.28,72.43,75,26,0.23,scattered clouds
98,Dengfeng,CN,34.46,113.03,41.31,93,100,1.64,overcast clouds
99,Kodiak,US,57.79,-152.41,53.11,82,100,10.29,heavy intensity rain
100,Kaitangata,NZ,-46.28,169.85,35.06,76,99,6.79,light snow
101,Cherskiy,RU,68.75,161.3,22.44,80,100,3.37,overcast clouds
102,Vostok,RU,46.49,135.88,28.24,83,93,2.89,overcast clouds
103,Kutum,SD,14.2,24.67,87.64,18,36,4.88,scattered clouds
104,Juneau,US,58.3,-134.42,50.22,100,100,1.54,light rain
105,Salvador,SV,13.83,-88.92,84.06,67,84,1.5,broken clouds
106,Victoria,HK,22.29,114.16,84.38,77,11,5.81,few clouds
107,Sisimiut,GL,66.94,-53.67,31.82,65,15,1.79,few clouds
108,Ust-Maya,RU,60.42,134.53,23.29,87,63,3.68,broken clouds
109,Port Elizabeth,ZA,-33.92,25.57,65.1,85,100,2.24,overcast clouds
110,Kollam,IN,8.88,76.6,76.89,90,100,3.73,overcast clouds
111,Zonguldak,TR,41.25,31.83,52.75,79,84,1.86,broken clouds
112,Sola,VU,-13.88,167.55,79.84,79,30,8.66,scattered clouds
113,Talaya,RU,61.38,152.75,13.55,96,100,2.24,overcast clouds
114,Nouadhibou,MR,20.93,-17.03,84.78,47,96,4.44,overcast clouds
115,Huron,US,41.15,-82.55,70.74,51,3,2.33,clear sky
116,Pangody,RU,65.85,74.49,32.11,92,40,2.59,scattered clouds
117,Megion,RU,61.03,76.11,35.02,77,45,2.21,scattered clouds
118,Hilo,US,19.73,-155.09,78.28,95,100,2.57,overcast clouds
119,Raul Soares,BR,-20.1,-42.45,86.77,49,57,2.33,broken clouds
120,Ilheus,BR,-14.79,-39.05,83.82,53,63,4.25,broken clouds
121,Mar Del Plata,AR,-38.0,-57.56,68.02,56,75,5.14,broken clouds
122,Ossora,RU,59.24,163.07,36.07,74,75,6.87,broken clouds
123,Naze,JP,28.37,129.48,74.57,77,63,4.0,broken clouds
124,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,75.43,74,53,3.91,broken clouds
125,Hami,CN,42.8,93.45,53.49,56,30,1.24,scattered clouds
126,Longyearbyen,SJ,78.22,15.64,39.04,75,20,8.23,few clouds
127,Lavrentiya,RU,65.58,-171.0,37.54,91,100,6.63,overcast clouds
128,High Level,CA,58.52,-117.14,38.5,68,100,3.82,overcast clouds
129,Jardim,BR,-21.48,-56.14,94.03,39,19,4.91,few clouds
130,Beringovskiy,RU,63.05,179.32,42.75,93,100,12.29,moderate rain
131,Nakonde,ZM,-9.34,32.74,72.99,27,54,5.68,broken clouds
132,Rumuruti,KE,0.27,36.54,66.51,59,90,4.47,overcast clouds
133,Katunayaka,LK,7.16,79.88,80.6,83,40,5.66,scattered clouds
134,Puerto Leguizamo,CO,-0.19,-74.78,95.76,39,26,0.83,scattered clouds
135,Asyut,EG,27.18,31.18,87.35,24,0,4.86,clear sky
136,Kalmunai,LK,7.42,81.82,81.39,76,100,3.18,overcast clouds
137,Abnub,EG,27.27,31.15,87.22,24,0,4.74,clear sky
138,Touros,BR,-5.2,-35.46,85.89,58,1,7.9,clear sky
139,Mahanje,TZ,-9.93,35.33,74.97,32,9,2.49,clear sky
140,Torbay,CA,47.67,-52.73,63.28,55,67,2.68,broken clouds
141,Semme,FR,46.2,1.5,75.61,44,0,2.8,clear sky
142,Arraial Do Cabo,BR,-22.97,-42.03,75.06,69,100,5.66,overcast clouds
143,Itarema,BR,-2.92,-39.92,88.21,52,26,9.36,scattered clouds
144,Cumana,VE,10.46,-64.18,84.65,70,100,2.7,overcast clouds
145,Aklavik,CA,68.22,-135.01,27.25,91,100,4.58,overcast clouds
146,Mecca,SA,21.43,39.83,89.8,33,2,3.46,clear sky
147,Were Ilu,ET,10.6,39.43,50.68,80,40,3.25,scattered clouds
148,Pimentel,PE,-6.84,-79.93,70.09,60,0,6.17,clear sky
149,Hambantota,LK,6.12,81.12,79.39,79,100,7.87,overcast clouds
150,Padang,ID,-0.95,100.35,78.85,88,90,2.26,overcast clouds
151,Kapaa,US,22.08,-159.32,71.92,87,40,2.06,scattered clouds
152,Rorvik,NO,64.86,11.24,50.11,81,100,5.66,moderate rain
153,San Quintin,MX,30.48,-115.95,69.78,80,93,2.02,overcast clouds
154,Cidreira,BR,-30.18,-50.21,65.48,69,0,6.21,clear sky
155,Moerai,PF,-22.43,-151.33,72.39,61,97,8.93,overcast clouds
156,Richards Bay,ZA,-28.78,32.04,73.31,81,25,6.49,scattered clouds
157,Hudiksvall,SE,61.73,17.1,56.12,83,100,4.19,overcast clouds
158,Thompson,CA,55.74,-97.86,30.36,86,75,7.72,broken clouds
159,Aden,YE,12.78,45.04,87.24,68,80,1.87,broken clouds
160,Samarai,PG,-10.62,150.67,80.69,83,100,4.96,overcast clouds
161,Banyo,CM,6.75,11.82,73.02,85,69,0.98,light rain
162,Kabul,AF,34.5,69.42,61.66,18,0,1.5,clear sky
163,Norsup,VU,-16.07,167.38,77.72,82,32,6.0,scattered clouds
164,Bonnyville,CA,54.27,-110.73,43.14,66,100,5.21,overcast clouds
165,Avera,US,33.19,-82.53,71.55,23,0,1.08,clear sky
166,Caravelas,BR,-17.71,-39.25,83.95,55,38,5.57,scattered clouds
167,Alofi,NU,-19.06,-169.92,76.8,81,90,7.53,overcast clouds
168,Guatire,VE,10.48,-66.54,88.2,64,77,1.32,broken clouds
169,Norman Wells,CA,65.28,-126.83,32.58,91,10,3.37,clear sky
170,Oranjemund,NA,-28.55,16.43,58.33,75,98,8.48,overcast clouds
171,Yumen,CN,40.28,97.2,44.26,73,56,3.82,broken clouds
172,Okmulgee,US,35.62,-95.96,77.11,38,0,2.57,clear sky
173,Chokurdakh,RU,70.63,147.92,16.7,96,98,1.74,overcast clouds
